*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
102,CIBC_Chequing,Bank,Tax Exempt (0%),,No,No,No,
109,CIBC_Savings,Bank,Tax Exempt (0%),,No,No,No,
110,VennCAD,Bank,Tax Exempt (0%),,No,No,No,
150,VennUSD,Bank,Tax Exempt (0%),,No,No,No,
170,VennEURO,Bank,Tax Exempt (0%),,No,No,No,
199,In flight,Current Asset,Tax Exempt (0%),"Money in transfer, left one account but haven't yet landed in another. AVOID USING this account if possible.",No,No,No,
200,Consulting & Services Revenue,Revenue,Tax on Sales (0%),Income from any normal business activity,No,No,No,
260,Other Revenue,Revenue,Tax on Sales (0%),Any other income that does not relate to normal business activities and is not recurring,No,No,No,
270,Interest Income,Revenue,Tax Exempt (0%),Interest income,No,No,No,
310,Cost of Goods Sold,Direct Costs,Tax on Purchases (0%),Cost of goods sold by the business,No,No,No,
320,Contractor / subcontractor expense,Direct Costs,Tax on Purchases (0%),,No,No,No,
400,Advertising,Expense,Tax on Purchases (0%),Expenses incurred for advertising while trying to increase sales,No,No,No,
404,Bank Fees,Expense,Tax Exempt (0%),Fees charged by your bank for transactions regarding your bank account(s).,No,No,No,
408,Cleaning,Expense,Tax on Purchases (0%),Expenses incurred for cleaning  business property.,No,No,No,
412,Consulting & Accounting,Expense,Tax on Purchases (0%),Expenses related to paying consultants,No,No,No,
416,Depreciation,Expense,Tax Exempt (0%),The amount of the asset's cost (based on the useful life) that was consumed during the period,No,No,No,
420,Entertainment,Expense,Tax Exempt (0%),Expenses paid by company for the business but are not deductable for income tax purposes.,No,No,No,
425,Freight & Courier,Expense,Tax on Purchases (0%),Expenses incurred on courier & freight costs,No,No,No,
429,General Expenses,Expense,Tax on Purchases (0%),General expenses related to the running of the business.,No,No,No,
433,Insurance,Expense,Tax on Purchases (0%),Expenses incurred for insuring the business' assets,No,No,No,
437,Interest Expense,Expense,Tax Exempt (0%),"Any interest expenses paid to your tax authority, business bank accounts or credit card accounts.",No,No,No,
441,Legal expenses,Expense,Tax on Purchases (0%),Expenses incurred on any legal matters,No,No,No,
445,"Light, Power, Heating",Expense,Tax on Purchases (0%),"Expenses incurred for lighting, powering or heating the premises",No,No,No,
449,Motor Vehicle Expenses,Expense,Tax on Purchases (0%),Expenses incurred on the running of company motor vehicles,No,No,No,
